objectid,title,creator,date,date-display,description,subject,location,latitude,longitude,specialized_collection,repository_url,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
fac_001,The Franco-Americans: Occupational Profiles,Madeleine Giguere,1981-05-08,"May 8, 1981",Conference presentation about the sociology of Franco-American work.,"Sociology, professional papers, professors, USM",,,,Franco-American Collection,https://digitalcommons.usm.maine.edu/giguere-publications-and-presentations/50/,Madeleine Giguere Papers ,,text,application/pdf,en,In copyright - Educational use permitted,https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/FAC_Franco-AmericansOccupationalProfiles.pdf,/objects/small/fac_franco-americansoccupationalprofiles_sm.jpg,/objects/thumbs/fac_franco-americansoccupationalprofiles_th.jpg,"Typed conference presentation about the sociology of Franco-American work, given at the University of Toronto in 1981.",
fac_002,Variations in the Employment of French Mother Tongue Persons by Sex: New England States,Madeleine Giguere,1980-02-14,"February 14, 1980",Seminar presentation,"Sociology, professional papers, professors, USM",,,,Franco-American Collection,https://digitalcommons.usm.maine.edu/giguere-publications-and-presentations/53/,Madeleine Giguere Papers,,text,application/pdf,en,In copyright - Educational use permitted,https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/FAC_VariationsinEmployment.pdf,/objects/small/fac_variationsinemployment_sm.jpg,/objects/thumbs/fac_variationsinemployment_th.jpg,"Typed seminar presentation, given at the University of Maine Orono in 1980.",
fac_003,Civil Rights Commission Chair Card,Civil Rights Commission,1979,1979,Membership ID card for the Maine Civil Rights Commission.,"Maine Civil Rights Commission, memberships, civil rights",,,,Franco-American Collection,https://digitalcommons.usm.maine.edu/giguere-usm-career/34/,Madeleine Giguere Papers,,text,application/pdf,en,This work is licensed under a Creative Commons Attribution-Noncommercial-No Derivative Works 4.0 License.,https://creativecommons.org/licenses/by-nc-nd/4.0/,pdf,/objects/FAC_CivilRightsCommissionChairCard1979.pdf,/objects/small/fac_civilrightscommissionchaircard1979_sm.jpg,/objects/thumbs/fac_civilrightscommissionchaircard1979_th.jpg,"Membership ID card for the Maine Civil Rights Commission, listing Madeleine Giguere as Chairperson, 1979.",
fac_004,Civil Rights Commission State Advisory Committee Newsletter,Civil Rights Commission,1980-12-01,November-December 1980,"Newsletter covering work of the commission in various states, listing Madeleine Giguere as the chairperson for Maine.","Maine Civil Rights Commission, memberships, civil rights",,,,Franco-American Collection,https://digitalcommons.usm.maine.edu/giguere-conferences-and-presentations-1968-1997/46/,Madeleine Giguere Papers,,text,application/pdf,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,pdf,/objects/FAC_StateAdvisoryCommitteeNewsletter1980.pdf,/objects/small/fac_stateadvisorycommitteenewsletter1980_sm.jpg,/objects/thumbs/fac_stateadvisorycommitteenewsletter1980_th.jpg,"Newsletter covering work of the commission in various states, listing Madeleine Giguere as the chairperson for Maine, 1980.",
fac_005,Portrait of Madeleine Giguere,Tom Jones,,approximately 1990,Posed professional portrait of Madeleine Giguere by Tom Jones.,"photography, headshots, Madeleine Giguere ",,,,Franco-American Collection,https://digitalcommons.usm.maine.edu/giguere-early-life-and-education/35/,Madeleine Giguere Papers,,Image;StillImage,image/jpeg,,In copyright - Educational use permitted,https://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/FAC_MadelineGiguere.jpg,/objects/small/fac_madelinegiguere_sm.jpg,/objects/thumbs/fac_madelinegiguere_th.jpg,"Posed professional portrait of Madeleine Giguere by Tom Jones. The image shows Madeleine, an older woman with grey hair, smiling at the camera while holding her glasses in her hands in front of her chest.",
fac_006,Photo of the staff of Le Messager Newspaper,,,approximately 1990,"Posed image of the staff of Le Messager on the steps of their office building, including Camille Lessard Bissonette.","photography, newspapers, Le Messager",,,,Franco-American Collection,https://digitalcommons.usm.maine.edu/le-messager/5/,Le Messager Newspaper Collection,2019.13.1BLeMessagerF1,Image;StillImage,image/jpeg,,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/FAC_leMessagerStaff1880.jpg,/objects/small/fac_lemessagerstaff1880_sm.jpg,/objects/thumbs/fac_lemessagerstaff1880_th.jpg,"Posed image of the staff of Le Messager on the steps of their office building, including Camille Lessard Bissonette. 15 staff members of Le Messager pose on the steps of their office building. All are well dressed for the picture. 11 are men, and 4 are women, the women standing closest to the door of the office, and the men sitting on the steps.",
fac_007,Photo of Bertha Bolduc Chaffers and Margaret Chase Smith,,,,"Image of Bertha Bolduc Chaffers, leader of the Women's Division of the Civil Defense Corps in Lewiston-Auburn during WWII, and Senator Margaret Chase Smith.","photography, politicians, Women's Division of the Civil Defense Corps",,,,Franco-American Collection,,Bertha Bolduc Chaffers Papers,,Image;StillImage,image/jpeg,,In copyright - Educational use permitted,https://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/FAC_BerthaBChaffers-MargaretChaseSmith.jpg,/objects/small/fac_berthabchaffers-margaretchasesmith_sm.jpg,/objects/thumbs/fac_berthabchaffers-margaretchasesmith_th.jpg,"Image of Bertha Bolduc Chaffers, leader of the Women's Division of the Civil Defense Corps in Lewiston-Auburn during WWII, and Senator Margaret Chase Smith. Bertha, a grey haired, heavyset woman wearing a dark colored dress, is standing on the left of the image, looking towards Margaret and holding two purses. Margaret, also grey haired, is standing on the right of the image, facing the camera but looking into the middle distance. Margaret is holidng one purse.",
fac_008,Georgette Berube Gubernatorial Campaign Ephemera,Georgette Berube,1982,1982,"Small pamphlet about Georgette's campaign for governor, showing her track record as a state rep and causes that she championed","politicians, gubernatorial campaign, Georgette Berube",,,,Franco-American Collection,https://digitalcommons.usm.maine.edu/georgette-berube-political-life/2,Georgette Berube Papers,,text,application/pdf,en,In copyright - Educational use permitted,https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/FAC_2021-03_GeorgetteBerube_DemocratforGovernor.pdf,/objects/small/fac_2021-03_georgetteberube_democratforgovernor_sm.jpg,/objects/thumbs/fac_2021-03_georgetteberube_democratforgovernor_th.jpg,"Small, single page pamphlet advertising Georgette Berube's run for governor of Maine. Front shows a picture of Georgette, a darked haired woman with thick black rimmed glasses, smiling while wearing a blazer and campagin button that reads ""Berube."" The back of the pamplet lists quick facts about her candidacy. ",
fac_009,"Le FAROG Forum, Vol. 5 issue 6",Franco Center U Maine Orono,1978-03-01,March 1978,Cartoon depicting traditional gender roles on page 11,"newspapers, cartoons, gender roles ",,,,Franco-American Collection,https://digitalcommons.library.umaine.edu/francoamericain_forum/19/,Le Forum Newspaper Collection ,,text,application/pdf,fr,In copyright - Educational use permitted,https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/FAC_FF_Vol_5_No_6-comic.pdf,/objects/small/fac_ff_vol_5_no_6-comic_sm.jpg,/objects/thumbs/fac_ff_vol_5_no_6-comic_th.jpg,"Cartoon depicting the harm of traditional gender roles on page 11 of this issue of Le F.A.R.O.G. Forum. The cartoon includes three cels, the first depicting a couple on a picnic enjoying themselves. The second, depicting a woman frustratedly doing piles of dishes by herself. The third shows the couple doing the dishes together.",
fac_010,French Language Speakers Map of New England,Madeleine Giguere,approximately 1980,1980,"Map depicting French language speakers in New England, created by Madeleine Giguere, using information from the 1970 census","hand drawn, map, sociology, French language, New England",,,,Franco-American Collection,https://digitalcommons.usm.maine.edu/giguere-map/1,Madeleine Giguere Papers,,Image;StillImage,image/jpeg,en,In copyright - Educational use permitted,https://rightsstatements.org/vocab/InC-EDU/1.0/,image,/objects/FAC_FrancoMap.jpg,/objects/small/fac_francomap_sm.jpg,/objects/thumbs/fac_francomap_th.jpg,"Large, hand-drawn map depicting French language speakers in New England, created by Madeleine Giguere, using information from the 1970 census. Population centers such as Lowell, Lewiston, and Woonsocket are listed.",
fac_011,Canuck,Camille Lessard Bissonette (Liane) ,,,"Novel published by Le Messager reporter Camille Lessard under her pen name ""Liane,"" which follows a French Canadian immigrant woman coming to Maine and working in the mills.","newspapers, books, authors, Camille Lessard Bissonette",,,,Franco-American Collection,https://searchursus.maine.edu/iii/encore/record/C__Rb1957963,Le Messager Newspaper Collection,,text,image/jpeg,fr,In copyright,https://rightsstatements.org/vocab/InC/1.0/,record,/objects/FAC_Canuck.jpg,/objects/small/fac_canuck_sm.jpg,/objects/thumbs/fac_canuck_th.jpg,"Novel published by Le Messager reporter Camille Lessard under her pen name ""Liane."" Small paperback, partially damaged cover. ",
fac_012,Le Messager medicine ad,Le Messager,1899-02-28,"February 28, 1899","Ad for ""Elixir Uterin"" advertised by a nun, which purported to solve ""beau mal"" feminine ailments ","newspapers, Le Messager, advertisements, patent medicines",,,,Franco-American Collection,https://digitalcommons.usm.maine.edu/fac-le-messager-print/93/,Le Messager Newspaper Collection,,text,image/jpeg,fr,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/FAC_leMessager-elixirrad.jpg,/objects/small/fac_lemessager-elixirrad_sm.jpg,/objects/thumbs/fac_lemessager-elixirrad_th.jpg,"Ad for ""Elixir Uterin,"" found in a 1899 issue of Le Messager. Newspaper has yellowed with age, and the ink is faded. The ad contains an image of a nun. The nun is holding a bottle of elixir, and a sign that says: ""Emplatre des 7 douleurs."" Roughly translated this means it will treat 7 different illnesses. ",
fac_013,Georgette Berube Gubernatorial Campaign Ephemera 2,Georgette Berube,1982,1982,"Larger pamphlet about Georgette's campaign for governor, showing her track record as a state rep and causes that she championed","politicians, gubernatorial campaign, Georgette Berube",,,,Franco-American Collection,https://digitalcommons.usm.maine.edu/georgette-berube-political-life/1,Georgette Berube Papers,,text,application/pdf,en,In copyright - Educational use permitted,https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/FAC_2021-03_GeorgetteBerube_governorflyer.pdf,/objects/small/fac_2021-03_georgetteberube_governorflyer_sm.jpg,/objects/thumbs/fac_2021-03_georgetteberube_governorflyer_th.jpg,"Larger pamphlet advertising Georgette Berube's run for governor of Maine. This is a tri-fold brochure, the front of which depicts a smiling Georgette standing in front of the Maine State House. When opened, the same promotional picture of Georgette from the other pamphlet is visible, along with an image of Georgette with her children, 22 year old Michele and 15 year old Claude. The rest of the brochure outlines facts about her and her stances in more detail.",
fac_014,Letter from Charlotte Michaud to Madelieine [Giguère],Charlotte Michaud,1982-04-07,"April 7, 1982",,,,,,Franco-American Collection,https://digitalcommons.usm.maine.edu/michaud-1974-1985/45/,,,text,application/pdf,fr,In copyright - Educational use permitted,https://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,/objects/FAC_LetterfromCharlotteMichaud.pdf,/objects/small/fac_letterfromcharlottemichaud_sm.jpg,/objects/thumbs/fac_letterfromcharlottemichaud_th.jpg,,
oml_001,Keep Cool!,Massachusetts Woman Suffrage Group,1915,1915,,Suffrage,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/54594.0001,Osher Map Library Collection,54594,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/54594.jpg,/objects/small/oml_54594_sm.jpg,/objects/thumbs/oml_54594_th.jpg,,
oml_002,Southern women and lynching,"Association of Southern Women for the Prevention of Lynching,",1936,1936,,Civil rights,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/58468.0001,Osher Map Library Collection,58468,Text,image/jpeg,en,In Copyright,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/58468.jpg,/objects/small/oml_58468_sm.jpg,/objects/thumbs/oml_58468_th.jpg,,
oml_003,The Tree of Temperance,Currier & Ives,1872,1872,,Temperance,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/54288.0001,Osher Map Library Collection,54288,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-108321/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-108321/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_54288_sm.jpg,/objects/thumbs/oml_54288_th.jpg,,
oml_004,Map of Memorials of a famous woman: Frances E. Willard,Woman's Christian Temperance Union,1938,1938,,Temperance,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/54472.0001,Osher Map Library Collection,54472,Image;StillImage,image/jpeg,en,In Copyright,https://rightsstatements.org/vocab/InC/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-108227/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-108227/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_54472_sm.jpg,/objects/thumbs/oml_54472_th.jpg,,
oml_005,Votes for women a success: the map proves it,National Women Suffrage Publishing Co.,1913,1913,,Suffrage,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/53770.0001,Osher Map Library Collection,53770,Text,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-104152/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-104152/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_53770_sm.jpg,/objects/thumbs/oml_53770_th.jpg,,
oml_006,Present Suffrage Status,Equal Suffrage League of Virginia,1913,1913,,Suffrage,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/53771.0001,Osher Map Library Collection,53771,Text,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-104153/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-104153/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_53771_sm.jpg,/objects/thumbs/oml_53771_th.jpg,,
oml_007,Game of Bicycle Race,,1895,1895,,Dress reform,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/37306.0001,Osher Collection,37306,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/37306.jpg,/objects/small/oml_37306_sm.jpg,/objects/thumbs/oml_37306_th.jpg,,
oml_008,Last Leaves of American History: comprising a separate history of California,Emma Willard,1853,1853,,Education,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/58015.0001,Osher Map Library Collection,58015,Text,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/58015.jpg,/objects/small/oml_58015_sm.jpg,/objects/thumbs/oml_58015_th.jpg,,
oml_009,Geography for Beginners,Emma Willard,1826,1826,,Education,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/2174.0001,Smith Collection,2174,Text,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-115607/manifest?canvas_mode=child_items&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-115607/manifest?canvas_mode=child_items&strip_tags=&child_metadata=,/objects/small/oml_2174_sm.jpg,/objects/thumbs/oml_2174_th.jpg,,
oml_010,Game of Bicycle Race,McLoughlin Bros.,1900,1900,,Dress reform,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/37003.0001,Osher Collection,37003,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/37003.jpg,/objects/small/oml_37003_sm.jpg,/objects/thumbs/oml_37003_th.jpg,,
oml_011,"Map of New York City to accompany ""The temperance movement, or, The conflict between man & alcohol""",G.W. & C.B. Colton & Co.,1887,1887,,Temperance,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/56241.0001,Osher Map Library Collection,56241,Image;StillImage,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-117819/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-117819/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_56241_sm.jpg,/objects/thumbs/oml_56241_th.jpg,,
oml_012,Make the Map all white by constitutional amendment: thirty-six states can do it,Lincoln-Lee Legion,1916,1916,,Temperance,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/54351.0001,Osher Map Library Collection,54351,Text,image/jpeg,en,Public Domain,https://creativecommons.org/publicdomain/mark/1.0/,image,/objects/54351.jpg,/objects/small/oml_54351_sm.jpg,/objects/thumbs/oml_54351_th.jpg,,
oml_013,Twentieth Century Americans of Negro Lineage,Louise E. Jefferson,1965,1965,,Civil rights,,,,Osher Map Library & Smith Center for Cartographic Education,https://oshermaps.org/map/50794.0001,Osher Map Library Collection,50794,Image;StillImage,image/jpeg,en,In Copyright,https://rightsstatements.org/vocab/InC/1.0/,iiif,https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-102633/manifest?canvas_mode=assets&strip_tags=&child_metadata=?manifest=https://cdn1.historyit.com/iiif/5f34291499c4a6.60628694-102633/manifest?canvas_mode=assets&strip_tags=&child_metadata=,/objects/small/oml_50794_sm.jpg,/objects/thumbs/oml_50794_th.jpg,,
